Label;Part Type;mn;mpn;part number;
3v GPIO IN;Generic molex header - 2 pins;;;JST B2B-XH-A;
555 Timer;555 Timer;;;;
C1;Ceramic Capacitor;;;10nF;
C2;Ceramic Capacitor;;;0.1uF;
C3;Ceramic Capacitor;;;0.1uF;
D1;Rectifier Diode;;;1N4001;
D2;Rectifier Diode;;;1N4001;
ext. Switch;Generic molex header - 2 pins;;;JST B2B-XH-A;
Q1;NPN-Transistor;;;PN2222;
QIACHIP RX480E;Generic male header - 7 pins;;;QIACHIP RX480E;
R1;460kΩ Resistor;;;;
R2;1kΩ Resistor;;;;
R3;10kΩ Resistor;;;;
R4;220Ω Resistor;;;;
S1;Pushbutton;;;;
VCC1;Battery block 9V;;;;
vIN 9-12v;Generic molex header - 2 pins;;;JST B2B-XH-A;
Voltage Regulator 3.3v;Voltage Regulator -- 3.3 V -- LM1117;;;;
Voltage Regulator 5v;Voltage Regulator - 5V;;;;
vOUT 3.3v;Generic molex header - 2 pins;;;JST B2B-XH-A;

Amount;Part Type;mn;mpn;part number;
1;10kΩ Resistor;;;;
1;1kΩ Resistor;;;;
1;220Ω Resistor;;;;
1;460kΩ Resistor;;;;
1;555 Timer;;;;
1;Battery block 9V;;;;
2;Ceramic Capacitor;;;0.1uF;
1;Ceramic Capacitor;;;10nF;
1;Generic male header - 7 pins;;;QIACHIP RX480E;
4;Generic molex header - 2 pins;;;JST B2B-XH-A;
1;NPN-Transistor;;;PN2222;
1;Pushbutton;;;;
2;Rectifier Diode;;;1N4001;
1;Voltage Regulator - 5V;;;;
1;Voltage Regulator -- 3.3 V -- LM1117;;;;
